timestamp,session_uid,lap_num,last_lap_num,current_lap_num,sector_1_mssector_2_ms,sector_3_ms,speed,throttle,brake,ers_energy_storage,fuel_remaining_lapsfuel_in_tank,tyre_wear_rl,tyre_wear_rr,tyre_wear_fl,tyre_wear_fr
2026-06-20T16:56:52.000350,5496628536430327251,47,88383,35501,0,,,,,,,,23.0,17.0,35.0,13.0
2026-06-20T16:56:52.000729,5496628536430327251,47,88383,35501,0,,,,,,,,23.0,17.0,35.0,13.0
2026-06-20T16:56:52.000901,5496628536430327251,47,88383,35501,0,,,,,,,,23.0,17.0,35.0,13.0
2026-06-20T16:56:52.001072,5496628536430327251,47,88383,35501,0,,133,0.0,0.0,,,,23.0,17.0,35.0,13.0
2026-06-20T16:56:52.001236,5496628536430327251,47,88383,35501,0,,133,0.0,0.0,3302878.0,6.971951484680176,24.258441925048828,23.0,17.0,35.0,13.0
2026-06-20T16:56:52.063470,5496628536430327251,47,88383,35501,0,,133,0.0,0.0,3302878.0,6.971951484680176,24.258441925048828,23.0,17.0,35.0,13.0
