timestamp,session_uid,last_lap_num,current_lap_num,sector_1_ms,sector_2_ms,sector_3_ms,speed,throttle,brake,ers_energy_storage,fuel_remaining_laps,fuel_in_tank,tyre_wear_rl,tyre_wear_rr,tyre_wear_fl,tyre_wear_fr
2026-06-25T01:35:00.261075,13960852032660513526,43,96930,0,0,33821,291,1.0,0.0,526129.3125,7.4625396728515625,33.33413314819336,12.0,10.0,9.0,4.0
2026-06-25T01:36:43.774700,13960852032660513526,44,96152,0,0,32540,286,1.0,0.0,315542.375,7.375003814697266,31.375789642333984,15.0,12.0,12.0,5.0
2026-06-25T01:38:20.020808,13960852032660513526,45,96279,0,0,34024,281,1.0,0.0,286628.9375,7.2787933349609375,29.40289878845215,18.0,14.0,14.0,6.0
2026-06-25T01:39:57.968523,13960852032660513526,46,97905,0,0,33575,265,1.0,0.0,1522004.375,7.1900482177734375,27.44247817993164,21.0,16.0,16.0,7.0
2026-06-25T01:41:34.274796,13960852032660513526,47,96312,0,0,32090,293,1.0,0.0,2505944.25,7.072958946228027,25.43206787109375,23.0,18.0,18.0,8.0
2026-06-25T01:43:09.126109,13960852032660513526,48,94855,0,0,31990,289,1.0,0.0,764128.75,6.989484786987305,23.481958389282227,26.0,20.0,19.0,9.0
2026-06-25T02:58:08.154363,13960852032660513526,49,96346,0,0,33211,286,1.0,0.0,1911078.25,6.877305030822754,21.479999542236328,29.0,22.0,21.0,10.0
2026-06-25T02:59:44.053681,13960852032660513526,50,95872,0,0,32124,286,1.0,0.0,2617767.5,6.755592346191406,19.460649490356445,32.0,25.0,23.0,10.0
2026-06-25T03:01:19.955400,13960852032660513526,51,95931,0,0,32274,282,1.0,0.0,1790908.125,6.6688690185546875,17.50529670715332,35.0,27.0,25.0,11.0
2026-06-25T03:02:59.353140,13960852032660513526,52,99376,0,0,33541,288,1.0,0.0,1999142.375,6.563807487487793,15.515223503112793,39.0,30.0,27.0,12.0
2026-06-25T03:04:36.505492,13960852032660513526,53,97165,0,0,33658,264,1.0,0.0,3247053.75,6.450128078460693,13.510931015014648,42.0,32.0,29.0,13.0
