timestamp,session_uid,lap_num,last_lap_num,current_lap_num,sector_1_mssector_2_ms,sector_3_ms,speed,throttle,brake,ers_energy_storage,fuel_remaining_lapsfuel_in_tank,tyre_wear_rl,tyre_wear_rr,tyre_wear_fl,tyre_wear_fr
2026-06-20T16:50:02.673933,5496628536430327251,47,88383,35501,0,,,,,,,,23.0,17.0,35.0,13.0
2026-06-20T16:50:02.674190,5496628536430327251,47,88383,35501,0,,,,,,,,23.0,17.0,35.0,13.0
2026-06-20T16:50:02.674373,5496628536430327251,47,88383,35501,0,,,,,,,,23.0,17.0,35.0,13.0
2026-06-20T16:50:02.674549,5496628536430327251,47,88383,35501,0,,176,0.0,0.0,,,,23.0,17.0,35.0,13.0
2026-06-20T16:50:02.674814,5496628536430327251,47,88383,35501,0,,176,0.0,0.0,3153451.0,6.944493293762207,24.258441925048828,23.0,17.0,35.0,13.0
2026-06-20T16:50:02.735078,5496628536430327251,47,88383,35501,0,,176,0.0,0.0,3153451.0,6.944493293762207,24.258441925048828,23.0,17.0,35.0,13.0
